username,category,num_followers,num_followees,num_posts
emilianummelin,beauty,45998.0,711.0,464.0
ifancycupcakes,beauty,17422.0,4451.0,1451.0
lavieencosmetiques,beauty,15989.0,695.0,649.0
hairbyfranco,beauty,68730.0,2120.0,1220.0
mrdanielmakeup,beauty,271445.0,2207.0,2336.0
guyannescissorhands,beauty,21455.0,889.0,1441.0
simplyslayed_,beauty,2334.0,149.0,710.0
domlanae,beauty,1529.0,987.0,379.0
prettylillyd,beauty,62859.0,560.0,459.0
sn0ok,beauty,162069.0,733.0,980.0
simaiamakeup,beauty,2305.0,1083.0,773.0
alwayscleia,beauty,1381.0,891.0,461.0
makeup_brunette_beauty,beauty,2566.0,29.0,1644.0
primpandprimebeauty,beauty,10190.0,1693.0,1433.0
chxrming,beauty,50630.0,7497.0,683.0
ooh.mee,beauty,202206.0,77.0,609.0
ashleykaylamakeup,beauty,124897.0,2350.0,821.0
hayleynoellexo,beauty,13179.0,959.0,735.0
lucyllamakeup,beauty,12635.0,923.0,1502.0
hey_itsbeautiful,beauty,414575.0,157.0,2796.0
sarbearmua,beauty,4776.0,1071.0,279.0
amandaepsteinhair,beauty,11697.0,936.0,947.0
horvattamara,beauty,17096.0,344.0,302.0
minimualist,beauty,31196.0,1661.0,532.0
michaelabachmann,beauty,1751.0,246.0,374.0
maria_alsabah,beauty,6928.0,71.0,516.0
andrearenee00,beauty,20668.0,826.0,835.0
katiejanehughes,beauty,174955.0,1984.0,765.0
hyowoony,beauty,31517.0,670.0,598.0
denitslava,beauty,1102359.0,703.0,585.0
melaninbeautiesunite,beauty,123100.0,2743.0,4749.0
rebeccamolloymakeup,beauty,9336.0,446.0,437.0
bernardinelliclaudia,beauty,3023.0,700.0,638.0
alexingamua,beauty,21180.0,7291.0,625.0
lindsaysgotglam,beauty,5723.0,5043.0,807.0
learningnaturalhair,beauty,1808.0,439.0,690.0
stjohnnnn,beauty,39736.0,1360.0,1340.0
brushinarushbyjr,beauty,5894.0,1597.0,999.0
makeup_with_nessa,beauty,10375.0,7094.0,510.0
_bubsbee,beauty,54819.0,558.0,447.0
nikkii_makeup,beauty,10765.0,5602.0,391.0
anubismakeup,beauty,190965.0,1189.0,1080.0
cosmobyhaley,beauty,955823.0,628.0,1025.0
joos_makeup,beauty,4685.0,388.0,496.0
letreirofeminino,beauty,20822.0,1884.0,533.0
beatyafaceduo,beauty,7965.0,2119.0,634.0
_lahrin_,beauty,15312.0,1741.0,339.0
inspobyelvirall,beauty,26230.0,140.0,397.0
flawdecaybeauty,beauty,1648.0,701.0,386.0
blonde25,beauty,17894.0,6396.0,2301.0
megfeather,beauty,419340.0,933.0,429.0
brooke.ellis_,beauty,29748.0,624.0,1420.0
lola_von_esche,beauty,105673.0,961.0,898.0
lovleesazy,beauty,18321.0,852.0,908.0
hairbysaretta,beauty,11011.0,989.0,968.0
loveevelyn13,beauty,2088.0,1736.0,398.0
marianamaldona2,beauty,4396.0,966.0,294.0
hair.by.adam,beauty,46026.0,465.0,530.0
ashghotcakess,beauty,67062.0,1006.0,611.0
courteney_mua,beauty,19700.0,493.0,575.0
lovemascara,beauty,240768.0,977.0,3606.0
tanyatomamua,beauty,10158.0,1758.0,734.0
pinkyboicourt,beauty,5232.0,6307.0,3185.0
nadabeauty78,beauty,27324.0,473.0,1312.0
katsketch,beauty,113994.0,710.0,3023.0
cherie_flavor,beauty,43036.0,289.0,1665.0
jessicamakems,beauty,215335.0,2338.0,5791.0
briciaemilyn,beauty,246297.0,240.0,1146.0
